,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPDc_0,LEPDc_1,LEPDc_2,LEPDc_3,Index
0,0,0,0,0,0,300,300,360,360,360,360,360,10,0,0,106,106,0,0,0,0,0
1,0,0,0,0,0,500,500,360,360,360,360,360,10,0,0,106,106,0,0,0,0,1
2,0,0,0,0,0,700,700,360,360,360,360,360,10,0,0,106,106,0,0,0,0,2
3,0,0,0,0,0,900,900,360,360,360,360,360,10,0,0,106,106,0,0,0,0,3
4,0,0,0,0,0,1100,1100,360,360,360,360,360,10,0,0,106,106,0,0,0,0,4
5,0,0,0,0,0,1300,1300,360,360,360,360,360,10,0,0,106,106,0,0,0,0,5
6,0,0,0,0,0,1500,1500,360,360,360,360,360,10,0,0,106,106,0,0,0,0,6
7,0,0,0,0,0,1700,1700,360,360,360,360,360,10,0,0,106,106,0,0,0,0,7
8,0,0,0,0,0,1900,1900,360,360,360,360,360,10,0,0,106,106,0,0,0,0,8
9,0,0,0,0,0,2100,2100,360,360,360,360,360,10,0,0,106,106,0,0,0,0,9
10,0,0,0,0,0,2300,2300,360,360,360,360,360,10,0,0,106,106,0,0,0,0,10
11,0,0,0,0,0,2500,2500,360,360,360,360,360,10,0,0,106,106,0,0,0,0,11
12,0,0,0,0,0,2700,2700,360,360,360,360,360,10,0,0,106,106,0,0,0,0,12
13,0,0,0,0,0,2900,2900,360,360,360,360,360,10,0,0,106,106,0,0,0,0,13
14,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,14
15,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,15
16,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,16
17,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,17
18,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,18
19,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,19
20,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,20
21,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,21
22,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,22
23,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,23
24,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,24
25,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,25
26,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,26
27,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,27
28,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,28
29,0,0,0,0,0,2990,2990,360,360,360,360,360,10,0,0,106,106,0,0,0,0,29
35,0,0,0,0,0,2990,2990,360,360,360,360,360,20,0,0,106,106,748,757,78,130,30
36,0,0,0,0,0,2990,2990,360,360,360,360,360,30,0,0,106,106,761,755,82,135,31
37,0,0,0,0,0,2990,2990,360,360,360,360,360,40,0,0,106,106,760,755,82,132,32
38,0,0,0,0,0,2990,2990,360,360,360,360,360,50,0,0,106,106,758,766,83,136,33
39,0,0,0,0,0,2990,2990,360,360,360,360,360,60,0,0,106,106,762,760,79,142,34
40,0,0,0,0,0,2990,2990,360,360,360,360,360,70,0,0,106,106,763,757,79,132,35
41,0,0,0,0,0,2990,2990,360,360,360,360,360,80,0,0,106,106,757,763,81,135,36
42,0,0,0,0,0,2990,2990,360,360,360,360,360,90,0,0,106,106,763,771,81,130,37
43,0,0,0,0,0,2990,2990,360,360,360,360,360,100,0,0,106,106,753,764,81,145,38
44,0,0,0,0,0,2990,2990,360,360,360,360,360,110,0,0,106,106,752,776,72,145,39
45,0,0,0,0,0,2990,2990,360,360,360,360,360,120,0,0,106,106,762,763,66,146,40
