,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPD_total,LEPD_dX,LEPD_dY,index
149,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,456,0,0,65280
150,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,460,0,0,65280
151,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,464,0,0,65280
152,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,468,32,0,65280
153,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,472,0,0,65280
154,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,476,0,0,65280
155,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,480,0,0,65280
156,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,484,0,0,65280
157,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,488,0,0,65280
158,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,492,32,0,65280
159,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,496,0,0,65280
160,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,500,0,0,65280
161,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,476,0,0,65280
162,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,480,0,0,65280
163,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,484,0,0,65280
164,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,488,0,0,65280
165,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,492,32,0,65280
166,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,496,0,0,65280
167,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,500,0,0,65280
168,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,504,0,0,65280
169,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,508,32,0,65280
170,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,512,32,0,65280
171,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,516,32,0,65280
172,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,520,0,0,65280
173,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,524,32,0,65280
174,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,528,0,0,65280
175,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,532,32,0,65280
176,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,536,0,0,65280
177,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,540,0,0,65280
178,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,544,0,0,65280
179,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,548,0,0,65280
180,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,552,0,0,65280
181,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,556,32,0,65280
182,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,560,0,0,65280
183,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,564,0,0,65280
184,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,568,0,0,65280
185,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,572,0,0,65280
186,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,576,32,0,65280
187,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,580,32,0,65280
188,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,584,0,0,65280
189,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,588,0,0,65280
190,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,592,32,0,65280
191,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,596,0,0,65280
192,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,600,0,0,65280
193,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,604,0,0,65280
194,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,608,32,0,65280
195,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,612,32,0,65280
196,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,616,0,0,65280
197,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,620,32,0,65280
198,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,624,32,0,65280
199,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,628,0,0,65280
200,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,632,32,0,65280
201,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,636,32,0,65280
202,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,640,0,0,65280
203,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,644,32,0,65280
204,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,648,0,0,65280
205,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,652,32,0,65280
206,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,656,32,0,65280
207,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,660,32,0,65280
208,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,664,0,0,65280
209,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,668,32,0,65280
210,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,672,0,0,65280
211,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,676,0,0,65280
212,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,680,32,0,65280
213,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,684,32,0,65280
214,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,688,0,0,65280
215,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,692,0,0,65280
216,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,50176,0,696,32,0,65280
217,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,700,32,0,65280
218,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,704,32,0,65280
219,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,708,0,0,65280
220,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,712,0,0,65280
221,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,716,32,0,65280
222,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,720,32,0,65280
223,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,724,0,0,65280
224,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,728,0,0,65280
225,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,732,0,0,65280
226,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,736,0,0,65280
227,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,740,32,0,65280
228,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,744,0,0,65280
229,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,748,32,0,65280
230,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,752,0,0,65280
231,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,756,32,0,65280
232,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,760,0,0,65280
233,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,764,0,0,65280
234,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,768,0,0,65280
235,1044735,1044735,983295,1044735,1,8,8,128,128,128,128,71,1,0,0,0,0,772,32,0,65280
