,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPD_total,LEPD_dX,LEPD_dY,Index
0,0,0,0,0,4960,800,800,316,320,320,320,328,10,0,0,106,106,0,0,0,0
7,0,0,0,0,4712,990,990,316,320,320,320,328,20,0,0,106,106,4,0,0,1
8,0,0,0,0,4712,1180,1180,316,320,320,320,328,30,0,0,106,106,4,0,0,2
9,0,0,0,0,4712,1370,1370,316,320,320,320,328,40,0,0,106,106,4,0,0,3
10,0,0,0,0,4712,1560,1560,316,320,320,320,328,50,0,0,106,106,4,0,0,4
11,0,0,0,0,4712,1750,1750,316,320,320,320,328,60,0,0,106,106,4,0,0,5
12,0,0,0,0,4712,1940,1940,316,320,320,320,328,70,0,0,106,106,4,0,0,6
13,0,0,0,0,4712,2130,2130,316,320,324,320,328,80,0,0,106,106,4,0,0,7
14,0,0,0,0,4712,2320,2320,320,324,324,320,328,90,0,0,106,106,4,0,0,8
15,0,0,0,0,4712,2510,2510,320,324,324,320,328,100,0,0,106,106,3,0,0,9
16,0,0,0,0,4712,2700,2700,320,324,324,320,328,110,0,0,106,106,3,0,0,10
17,0,0,0,0,4712,2890,2890,320,324,324,320,328,120,0,0,106,106,3,0,0,11
18,0,0,0,0,4712,2990,2990,316,320,320,320,328,130,0,0,106,106,3,0,0,12
19,0,0,0,0,4712,2990,2990,316,320,320,316,324,140,0,0,106,106,3,0,0,13
20,0,0,0,0,4712,2990,2990,316,320,320,316,324,150,0,0,106,106,3,0,0,14
21,0,0,0,0,4712,2990,2990,316,320,320,316,324,160,0,0,106,106,3,0,0,15
22,0,0,0,0,4712,2990,2990,316,320,320,316,324,170,0,0,106,106,3,0,0,16
23,0,0,0,0,4712,2990,2990,316,320,320,316,324,180,0,0,106,106,3,0,0,17
24,0,0,0,0,4712,2990,2990,316,320,320,316,324,190,0,0,106,106,3,0,0,18
25,0,0,0,0,4712,2990,2990,316,320,320,316,328,200,0,0,106,106,3,0,0,19
26,0,0,0,0,4712,2990,2990,316,320,320,316,324,210,0,0,106,106,3,0,0,20
27,0,0,0,0,4712,2990,2990,316,320,320,316,324,220,0,0,106,106,3,0,0,21
28,0,0,0,0,4712,2990,2990,316,320,320,316,324,230,0,0,106,106,3,0,0,22
29,0,0,0,0,4712,2990,2990,316,320,320,316,324,240,0,0,106,106,3,0,0,23
30,0,0,0,0,4712,2990,2990,316,320,320,316,324,250,0,0,106,106,3,0,0,24
31,0,0,0,0,4712,2990,2990,316,320,320,316,324,260,0,0,106,106,3,0,0,25
32,0,0,0,0,4712,2990,2990,316,320,320,316,324,270,0,0,106,106,3,0,0,26
33,0,0,0,0,4712,2990,2990,316,320,320,316,324,280,0,0,106,106,3,0,0,27
34,0,0,0,0,4712,2990,2990,316,324,324,320,328,290,0,0,106,106,3,0,0,28
35,0,0,0,0,4712,2990,2990,316,324,324,320,328,300,0,0,106,106,3,0,0,29
36,0,0,0,0,4712,2990,2990,316,324,324,320,328,310,0,0,106,106,3,0,0,30
37,0,0,0,0,4712,2990,2990,316,324,324,320,332,311,0,0,106,106,3,0,0,31
38,0,0,0,0,4712,2990,2990,316,324,324,320,332,311,0,0,106,106,3,0,0,32
39,0,0,0,0,4712,2990,2990,316,320,324,320,328,311,0,0,106,106,3,0,0,33
40,0,0,0,0,4712,2990,2990,316,320,320,320,328,311,0,0,106,106,3,0,0,34
41,0,0,0,0,4712,2990,2990,312,320,320,320,328,311,0,0,106,106,3,0,0,35
42,0,0,0,0,4712,2990,2990,312,320,320,320,328,311,0,0,106,106,3,0,0,36
43,0,0,0,0,4712,2990,2990,312,320,320,320,328,311,0,0,106,106,3,0,0,37
44,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,0,0,106,106,3,0,0,38
45,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,0,0,106,106,3,0,0,39
46,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,0,0,106,106,3,0,0,40
47,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,0,0,106,106,3,0,0,41
48,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,4095,0,106,106,3,0,0,42
49,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,4095,0,106,111,3,0,0,43
50,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,4095,0,106,116,3,0,0,44
51,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,4095,0,106,121,3,0,0,45
52,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,4095,0,106,126,3,0,0,46
53,0,0,0,0,4712,2990,2990,312,320,320,320,324,311,4095,0,106,131,3,0,0,47
54,0,0,0,0,4712,2990,2990,312,320,316,320,324,311,4095,0,106,136,3,0,0,48
55,0,0,0,0,4712,2990,2990,316,320,316,320,324,311,4095,0,106,141,3,0,0,49
56,0,0,0,0,4712,2990,2990,312,320,316,320,328,311,4095,0,106,146,3,0,0,50
57,0,0,0,0,4712,2990,2990,312,320,316,320,328,311,4095,0,106,151,3,0,0,51
58,0,0,0,0,4712,2990,2990,312,320,316,316,328,311,4095,0,106,156,3,0,0,52
59,0,0,0,0,4712,2990,2990,312,320,316,316,328,311,4095,0,106,161,3,0,0,53
60,0,0,0,0,4712,2990,2990,312,320,316,316,328,311,4095,0,106,166,3,0,0,54
61,0,0,0,0,4712,2990,2990,312,316,316,316,328,311,4095,0,106,171,3,0,0,55
62,0,0,0,0,4712,2990,2990,312,316,316,316,324,311,4095,0,106,176,3,0,0,56
63,0,0,0,0,4712,2990,2990,312,316,316,316,324,311,4095,0,106,181,3,0,0,57
64,0,0,0,0,4712,2990,2990,308,316,316,316,324,311,4095,0,106,186,3,0,0,58
65,0,0,0,0,4712,2990,2990,308,316,316,316,324,311,4095,0,106,191,3,0,0,59
66,0,0,0,0,4712,2990,2990,308,316,316,316,320,311,4095,0,106,196,3,0,0,60
67,0,0,0,0,4712,2990,2990,312,316,316,316,320,311,4095,0,106,201,3,0,0,61
68,0,0,0,0,4712,2990,2990,312,316,316,316,320,311,4095,0,106,206,3,0,0,62
69,0,0,0,0,4712,2990,2990,312,316,316,316,324,311,4095,0,106,211,3,0,0,63
70,0,0,0,0,4712,2990,2990,312,316,316,316,324,311,4095,0,106,216,3,0,0,64
71,0,0,0,0,4712,2990,2990,312,320,316,316,324,311,4095,0,106,221,3,0,0,65
72,0,0,0,0,4712,2990,2990,312,320,316,316,324,311,4095,0,106,226,3,0,0,66
73,0,0,0,0,4712,2990,2990,312,320,316,316,324,311,4095,0,106,231,3,0,0,67
74,0,0,0,0,4712,2990,2990,312,320,316,316,324,311,4095,0,106,236,3,0,0,68
75,0,0,0,0,4712,2990,2990,312,320,316,316,324,311,4095,0,106,241,3,0,0,69
4144,41120,657930,41120,657930,41120,160,2570,640,640,640,640,640,160,2088,0,41120,41120,642,1044,160,41120
4145,303268,657994,304292,657994,42148,1188,2570,656,640,656,640,656,164,2089,0,42148,42144,642,1172,1184,41124
4146,42148,657994,42148,657994,42148,1184,2570,656,640,656,640,656,164,2089,0,42148,42144,642,1172,1184,41124
4147,42148,657994,42148,657994,42148,1184,2570,656,640,656,640,656,160,2089,0,41124,42144,642,1044,1184,41124
4158,0,0,0,0,0,288,288,0,0,0,0,0,10,0,0,96,96,0,0,0,0
4159,0,0,0,0,0,1000,1000,0,0,0,0,0,10,0,0,96,96,0,0,0,1
4160,0,0,0,0,0,1200,1200,0,0,0,0,0,10,0,0,96,96,0,0,0,2
4161,0,0,0,0,0,1400,1400,0,0,0,0,0,10,0,0,96,96,0,0,0,3
4162,0,0,0,0,0,1600,1600,0,0,0,0,0,10,0,0,96,96,0,0,0,4
4163,0,0,0,0,0,1800,1800,0,0,0,0,0,10,0,0,96,96,0,0,0,5
4164,0,0,0,0,0,2000,2000,0,0,0,0,0,10,0,0,96,96,0,0,0,6
